
🔄 Epoch 1/10
Step 10/962.0: loss=84.1935, lr=1.00e-06
Step 20/962.0: loss=82.8980, lr=2.00e-06
Step 30/962.0: loss=80.1612, lr=3.00e-06
Step 40/962.0: loss=72.4232, lr=4.00e-06
Step 50/962.0: loss=76.8084, lr=5.00e-06
Step 60/962.0: loss=73.6809, lr=6.00e-06
Step 70/962.0: loss=66.9608, lr=7.00e-06
Step 80/962.0: loss=64.1447, lr=8.00e-06
Step 90/962.0: loss=64.1150, lr=9.00e-06

🔄 Epoch 2/10
Step 100/962.0: loss=64.2368, lr=1.00e-05
Step 110/962.0: loss=59.9016, lr=1.10e-05
Step 120/962.0: loss=62.4069, lr=1.20e-05
Step 130/962.0: loss=69.5999, lr=1.30e-05
Step 140/962.0: loss=64.1945, lr=1.40e-05
Step 150/962.0: loss=58.6477, lr=1.50e-05
Step 160/962.0: loss=59.2799, lr=1.60e-05
Step 170/962.0: loss=61.0240, lr=1.70e-05
Step 180/962.0: loss=79.3736, lr=1.80e-05

🔄 Epoch 3/10
Step 190/962.0: loss=65.0755, lr=1.90e-05
Step 200/962.0: loss=61.6307, lr=2.00e-05
Step 210/962.0: loss=57.5988, lr=2.10e-05
Step 220/962.0: loss=52.5429, lr=2.20e-05
Step 230/962.0: loss=58.8492, lr=2.30e-05
Step 240/962.0: loss=51.7211, lr=2.40e-05
Step 250/962.0: loss=56.8594, lr=2.50e-05
Step 260/962.0: loss=55.1373, lr=2.60e-05
Step 270/962.0: loss=53.7606, lr=2.70e-05

🔄 Epoch 4/10
Step 280/962.0: loss=61.0368, lr=2.80e-05
Step 290/962.0: loss=57.8659, lr=2.90e-05
Step 300/962.0: loss=57.5325, lr=3.00e-05
Step 310/962.0: loss=67.1746, lr=3.10e-05
Step 320/962.0: loss=63.1133, lr=3.20e-05
Step 330/962.0: loss=61.6556, lr=3.30e-05
Step 340/962.0: loss=64.4772, lr=3.40e-05
Step 350/962.0: loss=59.4658, lr=3.50e-05
Step 360/962.0: loss=58.9458, lr=3.60e-05

🔄 Epoch 5/10
Step 370/962.0: loss=74.1415, lr=3.70e-05
Step 380/962.0: loss=58.8210, lr=3.80e-05
Step 390/962.0: loss=57.4276, lr=3.90e-05
Step 400/962.0: loss=51.1118, lr=4.00e-05
Step 410/962.0: loss=48.3547, lr=4.10e-05
Step 420/962.0: loss=86.1027, lr=4.20e-05
Step 430/962.0: loss=60.6679, lr=4.30e-05
Step 440/962.0: loss=51.0525, lr=4.40e-05
Step 450/962.0: loss=62.3308, lr=4.50e-05

🔄 Epoch 6/10
Step 460/962.0: loss=48.2410, lr=4.60e-05
